	# reads	% reads	fragment length	sample
0	10	0.001982989912530315	12	NEBNext_20_34
1	52	0.010311547545157639	13	NEBNext_20_34
2	655	0.12988583927073563	14	NEBNext_20_34
3	481	0.09538181479270814	15	NEBNext_20_34
4	1082	0.21455950853578007	16	NEBNext_20_34
5	1998	0.3962013845235569	17	NEBNext_20_34
6	2472	0.49019510637749386	18	NEBNext_20_34
7	3232	0.6409023397297978	19	NEBNext_20_34
8	7955	1.5774684754178656	20	NEBNext_20_34
9	20863	4.137111854511996	21	NEBNext_20_34
10	18795	3.7270295406007268	22	NEBNext_20_34
11	38929	7.719581430489263	23	NEBNext_20_34
12	60414	11.980035257560644	24	NEBNext_20_34
13	61240	12.143830224335648	25	NEBNext_20_34
14	62084	12.311194572953207	26	NEBNext_20_34
15	66096	13.10677012586037	27	NEBNext_20_34
16	59111	11.721651671957945	28	NEBNext_20_34
17	56601	11.223921203912836	29	NEBNext_20_34
18	28274	5.606705678688212	30	NEBNext_20_34
19	8623	1.7099322015748906	31	NEBNext_20_34
20	2838	0.5627725371761034	32	NEBNext_20_34
21	1486	0.2946723010020048	33	NEBNext_20_34
22	593	0.11759130181304768	34	NEBNext_20_34
23	167	0.03311593153925626	35	NEBNext_20_34
24	65	0.012889434431447046	36	NEBNext_20_34
25	85	0.01685541425650768	37	NEBNext_20_34
26	41	0.008130258641374292	38	NEBNext_20_34
27	26	0.005155773772578819	39	NEBNext_20_34
28	21	0.004164278816313661	40	NEBNext_20_34
0	1	0.0004643646562772814	13	undepleted_20_34
1	1	0.0004643646562772814	14	undepleted_20_34
2	13	0.006036740531604658	15	undepleted_20_34
3	20	0.009287293125545628	16	undepleted_20_34
4	45	0.020896409532477664	17	undepleted_20_34
5	171	0.07940635622341512	18	undepleted_20_34
6	457	0.2122146479187176	19	undepleted_20_34
7	2607	1.2105986589148727	20	undepleted_20_34
8	10927	5.074112599141854	21	undepleted_20_34
9	7333	3.4051860244813046	22	undepleted_20_34
10	3153	1.4641417612422682	23	undepleted_20_34
11	2780	1.2909337444508424	24	undepleted_20_34
12	6591	3.0606274495235617	25	undepleted_20_34
13	18810	8.734699184575664	26	undepleted_20_34
14	33068	15.355610453777143	27	undepleted_20_34
15	40419	18.76915504207144	28	undepleted_20_34
16	48418	22.48360792763341	29	undepleted_20_34
17	27620	12.825751806378513	30	undepleted_20_34
18	8721	4.049724167394172	31	undepleted_20_34
19	2457	1.1409439604732805	32	undepleted_20_34
20	1104	0.5126585805301187	33	undepleted_20_34
21	393	0.1824953099169716	34	undepleted_20_34
22	113	0.0524732061593328	35	undepleted_20_34
23	44	0.020432044876200383	36	undepleted_20_34
24	45	0.020896409532477664	37	undepleted_20_34
25	28	0.01300221037576388	38	undepleted_20_34
26	5	0.002321823281386407	39	undepleted_20_34
27	4	0.0018574586251091257	40	undepleted_20_34
0	5	0.002187906130075395	12	NEBNext_20_60
1	57	0.024942129882859505	13	NEBNext_20_60
2	833	0.3645051612705609	14	NEBNext_20_60
3	403	0.17634523408407685	15	NEBNext_20_60
4	398	0.17415732795400146	16	NEBNext_20_60
5	581	0.2542346923147609	17	NEBNext_20_60
6	798	0.3491898183600331	18	NEBNext_20_60
7	1345	0.5885467489902814	19	NEBNext_20_60
8	3972	1.738072629731894	20	NEBNext_20_60
9	11814	5.169584604142144	21	NEBNext_20_60
10	6975	3.0521290514551764	22	NEBNext_20_60
11	3723	1.6291149044541393	23	NEBNext_20_60
12	5934	2.596606995173479	24	NEBNext_20_60
13	19218	8.40943600155779	25	NEBNext_20_60
14	28297	12.382235952548692	26	NEBNext_20_60
15	33960	14.860258435472085	27	NEBNext_20_60
16	33293	14.568391757720027	28	NEBNext_20_60
17	34867	15.257144607467762	29	NEBNext_20_60
18	19434	8.503953546377046	30	NEBNext_20_60
19	6979	3.053879376359237	31	NEBNext_20_60
20	2976	1.3022417286208752	32	NEBNext_20_60
21	1949	0.8528458095033891	33	NEBNext_20_60
22	1277	0.5587912256212559	34	NEBNext_20_60
23	902	0.3946982658656013	35	NEBNext_20_60
24	727	0.3181215513129625	36	NEBNext_20_60
25	748	0.32731075705927914	37	NEBNext_20_60
