	# reads	% reads	fragment length	sample
26	958	0.41920281452244573	38	NEBNext_20_60
27	1798	0.7867710443751121	39	NEBNext_20_60
28	4308	1.8850999216729605	40	NEBNext_20_60
0	5	0.009433784268221354	14	undepleted_20_60
1	3	0.005660270560932813	15	undepleted_20_60
2	1	0.0018867568536442708	16	undepleted_20_60
3	8	0.015094054829154166	17	undepleted_20_60
4	20	0.037735137072885415	18	undepleted_20_60
5	72	0.1358464934623875	19	undepleted_20_60
6	411	0.7754570668477954	20	undepleted_20_60
7	2295	4.3301069791136015	21	undepleted_20_60
8	1541	2.9074923114658215	22	undepleted_20_60
9	622	1.1735627629667365	23	undepleted_20_60
10	464	0.8754551800909417	24	undepleted_20_60
11	1127	2.1263749740570934	25	undepleted_20_60
12	4513	8.514933680496595	26	undepleted_20_60
13	8492	16.022339201147147	27	undepleted_20_60
14	10117	19.08831908831909	28	undepleted_20_60
15	12374	23.346729306994206	29	undepleted_20_60
16	6810	12.848814173317484	30	undepleted_20_60
17	2077	3.9187939850191507	31	undepleted_20_60
18	641	1.2094111431859775	32	undepleted_20_60
19	299	0.5641402992396369	33	undepleted_20_60
20	157	0.29622082602215055	34	undepleted_20_60
21	51	0.09622459953585781	35	undepleted_20_60
22	37	0.06981000358483802	36	undepleted_20_60
23	57	0.10754514065772344	37	undepleted_20_60
24	89	0.1679213599743401	38	undepleted_20_60
25	209	0.39433218241165263	39	undepleted_20_60
26	509	0.9603592385049339	40	undepleted_20_60
