	# reads	% reads	fragment length	sample
0	6	0.004465415358051888	12	1A_noDep
1	1	0.000744235893008648	13	1A_noDep
2	15	0.01116353839512972	14	1A_noDep
3	113	0.08409865590997723	15	1A_noDep
4	174	0.12949704538350476	16	1A_noDep
5	345	0.2567613830879836	17	1A_noDep
6	487	0.36244287989521157	18	1A_noDep
7	500	0.372117946504324	19	1A_noDep
8	571	0.42495869490793803	20	1A_noDep
9	700	0.5209651251060536	21	1A_noDep
10	997	0.7420031853296221	22	1A_noDep
11	1311	0.9756932557343375	23	1A_noDep
12	1244	0.9258294509027581	24	1A_noDep
13	1185	0.8819195332152479	25	1A_noDep
14	1387	1.0322551836029947	26	1A_noDep
15	2098	1.5614069035321436	27	1A_noDep
16	3845	2.8615870086182515	28	1A_noDep
17	7727	5.750710745277823	29	1A_noDep
18	14138	10.522007055356266	30	1A_noDep
19	22081	16.433472753523958	31	1A_noDep
20	26603	19.798907461709064	32	1A_noDep
21	23501	17.490287721596236	33	1A_noDep
22	14770	10.992364139737731	34	1A_noDep
23	6902	5.136716133545689	35	1A_noDep
24	2333	1.7363023383891758	36	1A_noDep
25	692	0.5150112379619844	37	1A_noDep
26	285	0.2121072295074647	38	1A_noDep
27	168	0.12503163002545287	39	1A_noDep
28	90	0.06698123037077833	40	1A_noDep
29	58	0.04316568179450159	41	1A_noDep
30	25	0.0186058973252162	42	1A_noDep
31	10	0.0074423589300864805	43	1A_noDep
32	2	0.001488471786017296	44	1A_noDep
33	2	0.001488471786017296	45	1A_noDep
0	2	0.0011606717968360087	12	2A_noDep
1	1	0.0005803358984180043	13	2A_noDep
2	8	0.004642687187344035	14	2A_noDep
3	48	0.027856123124064207	15	2A_noDep
4	96	0.055712246248128414	16	2A_noDep
5	210	0.12187053866778091	17	2A_noDep
6	391	0.2269113362814397	18	2A_noDep
7	374	0.21704562600833363	19	2A_noDep
8	511	0.29655164409160023	20	2A_noDep
9	741	0.4300289007277412	21	2A_noDep
10	1198	0.6952424063047692	22	2A_noDep
11	1653	0.9592952400849611	23	2A_noDep
12	1671	0.9697412862564853	24	2A_noDep
13	1495	0.8676021681349165	25	2A_noDep
14	2009	1.1658948199217707	26	2A_noDep
15	2940	1.7061875413489327	27	2A_noDep
16	5624	3.2638090927028562	28	2A_noDep
17	11017	6.393560592871154	29	2A_noDep
18	19279	11.188295785600706	30	2A_noDep
19	28236	16.386364427730772	31	2A_noDep
20	33369	19.365228594310388	32	2A_noDep
21	29000	16.829741054122128	33	2A_noDep
22	18441	10.701974302726418	34	2A_noDep
23	9147	5.308332462829486	35	2A_noDep
24	3104	1.8013626286894855	36	2A_noDep
25	874	0.5072135752173358	37	2A_noDep
26	367	0.2129832747194076	38	2A_noDep
27	239	0.13870027972190305	39	2A_noDep
28	121	0.07022064370857853	40	2A_noDep
29	85	0.04932855136553037	41	2A_noDep
30	38	0.022052764139884166	42	2A_noDep
31	17	0.009865710273106074	43	2A_noDep
32	7	0.00406235128892603	44	2A_noDep
33	1	0.0005803358984180043	45	2A_noDep
0	9	0.002297365942315694	12	1B_riboZero
1	14	0.0035736803547133014	13	1B_riboZero
2	41	0.010465778181660383	14	1B_riboZero
3	244	0.062284143325003254	15	1B_riboZero
