	# reads	% reads	fragment length	sample
4	545	0.13911827095133925	16	1B_riboZero
5	1046	0.2670049750735795	17	1B_riboZero
6	1483	0.37855485471713046	18	1B_riboZero
7	1395	0.35609172105893255	19	1B_riboZero
8	1563	0.39897588531549216	20	1B_riboZero
9	2074	0.5294152182625277	21	1B_riboZero
10	2981	0.7609386526714537	22	1B_riboZero
11	3700	0.9444726651742297	23	1B_riboZero
12	3541	0.9038858668599857	24	1B_riboZero
13	3601	0.919201639808757	25	1B_riboZero
14	4289	1.0948225029546679	26	1B_riboZero
15	6714	1.7138349929675076	27	1B_riboZero
16	12195	3.112930851837765	28	1B_riboZero
17	24106	6.153367045051346	29	1B_riboZero
18	42925	10.957159230433462	30	1B_riboZero
19	65636	16.754434554425874	31	1B_riboZero
20	77464	19.773683928393655	32	1B_riboZero
21	66523	16.980852731185212	33	1B_riboZero
22	40931	10.448165042769295	34	1B_riboZero
23	18920	4.829573736512548	35	1B_riboZero
24	6074	1.5504667481806138	36	1B_riboZero
25	1842	0.4701942295272787	37	1B_riboZero
26	769	0.19629715662675207	38	1B_riboZero
27	483	0.1232919722376089	39	1B_riboZero
28	289	0.07377097303658173	40	1B_riboZero
29	177	0.04518153019887531	41	1B_riboZero
30	89	0.022718396540677418	42	1B_riboZero
31	45	0.011486829711578469	43	1B_riboZero
32	29	0.0074026235919061245	44	1B_riboZero
33	7	0.0017868401773566507	45	1B_riboZero
34	4	0.0010210515299180862	46	1B_riboZero
35	4	0.0010210515299180862	47	1B_riboZero
36	1	0.00025526288247952156	48	1B_riboZero
0	10	0.002121615228105461	12	2B_riboZero
1	33	0.007001330252748022	13	2B_riboZero
2	97	0.020579667712622974	14	2B_riboZero
3	431	0.09144161633134539	15	2B_riboZero
4	590	0.1251752984582222	16	2B_riboZero
5	968	0.20537235408060864	17	2B_riboZero
6	1402	0.2974504549803857	18	2B_riboZero
7	1451	0.3078463695981024	19	2B_riboZero
8	1650	0.35006651263740113	20	2B_riboZero
9	2410	0.5113092699734162	21	2B_riboZero
10	3651	0.7746017197813039	22	2B_riboZero
11	4609	0.9778524586338071	23	2B_riboZero
12	4276	0.9072026715378952	24	2B_riboZero
13	4230	0.8974432414886101	25	2B_riboZero
14	5344	1.1337911778995584	26	2B_riboZero
15	8671	1.8396525642902455	27	2B_riboZero
16	17056	3.6186269330566745	28	2B_riboZero
17	33584	7.125232582069381	29	2B_riboZero
18	57226	12.141155304356312	30	2B_riboZero
19	81677	17.328716698596978	31	2B_riboZero
20	90842	19.27317705515563	32	2B_riboZero
21	73696	15.635455585046007	33	2B_riboZero
22	44829	9.510988906073973	34	2B_riboZero
23	21559	4.573990270272564	35	2B_riboZero
24	6785	1.4395159322695554	36	2B_riboZero
25	2083	0.4419324520143676	37	2B_riboZero
26	958	0.2032507388525032	38	2B_riboZero
27	510	0.10820237663337852	39	2B_riboZero
28	359	0.07616598668898605	40	2B_riboZero
29	175	0.03712826649184557	41	2B_riboZero
30	95	0.020155344667001883	42	2B_riboZero
31	48	0.010183753094906213	43	2B_riboZero
32	24	0.005091876547453107	44	2B_riboZero
33	6	0.0012729691368632767	45	2B_riboZero
34	3	0.0006364845684316383	46	2B_riboZero
35	1	0.00021216152281054612	50	2B_riboZero
0	15	0.00854695984638264	12	1C_riboCop
1	8	0.004558378584737409	13	1C_riboCop
2	54	0.03076905544697751	14	1C_riboCop
3	247	0.1407399388037675	15	1C_riboCop
4	371	0.21139480686719733	16	1C_riboCop
5	668	0.38062461182557367	17	1C_riboCop
6	831	0.47350157548959837	18	1C_riboCop
7	784	0.44672110130426607	19	1C_riboCop
8	888	0.5059800229058524	20	1C_riboCop
9	1206	0.6871755716491644	21	1C_riboCop
10	1585	0.9031287571010992	22	1C_riboCop
11	2000	1.1395946461843522	23	1C_riboCop
12	1801	1.026204978889009	24	1C_riboCop
13	1808	1.0301935601506544	25	1C_riboCop
14	2154	1.2273434339405473	26	1C_riboCop
15	3236	1.8438641375262819	27	1C_riboCop
16	5981	3.407957789414305	28	1C_riboCop
17	11574	6.594834217468846	29	1C_riboCop
18	20407	11.627853972342038	30	1C_riboCop
19	29624	16.879675899282624	31	1C_riboCop
20	34213	19.494475814952622	32	1C_riboCop
21	28292	16.120705864923845	33	1C_riboCop
22	16366	9.325302989726554	34	1C_riboCop
23	7583	4.320773101007972	35	1C_riboCop
24	2346	1.3367445199742451	36	1C_riboCop
25	716	0.4079748833339981	37	1C_riboCop
26	317	0.18062575142021983	38	1C_riboCop
27	170	0.09686554492566994	39	1C_riboCop
28	117	0.0666662868017846	40	1C_riboCop
29	64	0.03646702867789927	41	1C_riboCop
30	43	0.024501284892963573	42	1C_riboCop
31	21	0.011965743784935699	43	1C_riboCop
32	6	0.0034187839385530568	44	1C_riboCop
33	4	0.0022791892923687044	45	1C_riboCop
34	1	0.0005697973230921761	46	1C_riboCop
0	29	0.008875178268666949	12	2C_riboCop
1	52	0.015914112757609702	13	2C_riboCop
2	122	0.03733695685439199	14	2C_riboCop
3	306	0.093648432765934	15	2C_riboCop
4	460	0.14077868977885505	16	2C_riboCop
5	819	0.25064727593235275	17	2C_riboCop
6	1134	0.34705007436787305	18	2C_riboCop
7	1056	0.32317890523145854	19	2C_riboCop
8	1210	0.37030916224437954	20	2C_riboCop
9	1721	0.5266959241508903	21	2C_riboCop
10	2494	0.7632653311053575	22	2C_riboCop
11	3326	1.0178911352271127	23	2C_riboCop
12	3116	0.9536226029367659	24	2C_riboCop
13	2844	0.8703795515892689	25	2C_riboCop
14	3488	1.067469717279666	26	2C_riboCop
15	5400	1.6526194017517766	27	2C_riboCop
16	10232	3.1314077256896624	28	2C_riboCop
17	20750	6.350343071546178	29	2C_riboCop
18	36699	11.231385078683045	30	2C_riboCop
19	52607	16.099879419991797	31	2C_riboCop
20	63148	19.325853700337255	32	2C_riboCop
21	54148	16.571488030750963	33	2C_riboCop
22	34879	10.674391132166706	34	2C_riboCop
23	17051	5.218298781346212	35	2C_riboCop
24	6139	1.8787834272878068	36	2C_riboCop
25	1800	0.5508731339172589	37	2C_riboCop
26	732	0.22402174112635193	38	2C_riboCop
27	415	0.12700686143092357	39	2C_riboCop
28	250	0.07651015748850817	40	2C_riboCop
29	144	0.04406985071338071	41	2C_riboCop
30	116	0.035500713074667796	42	2C_riboCop
31	35	0.010711422048391145	43	2C_riboCop
32	14	0.0042845688193564576	44	2C_riboCop
33	14	0.0042845688193564576	45	2C_riboCop
34	3	0.0009181218898620981	46	2C_riboCop
35	1	0.0003060406299540327	48	2C_riboCop
0	40	0.02615969183883014	12	1D_NEB
1	77	0.05035740678974802	13	1D_NEB
2	134	0.08763496766008097	14	1D_NEB
3	599	0.39174138528648134	15	1D_NEB
4	1245	0.814220408483588	16	1D_NEB
5	3714	2.4289273872353783	17	1D_NEB
6	5664	3.7042123643783476	18	1D_NEB
7	6285	4.110341580176185	19	1D_NEB
8	7131	4.6636190625674425	20	1D_NEB
9	7899	5.1658851458729815	21	1D_NEB
10	8125	5.313687404762372	22	1D_NEB
11	8967	5.864348917969746	23	1D_NEB
12	9297	6.080166375640095	24	1D_NEB
13	9039	5.91143636327964	25	1D_NEB
14	9166	5.994493384867926	26	1D_NEB
15	8694	5.685809021169731	27	1D_NEB
16	8911	5.827725349395384	28	1D_NEB
17	9017	5.897048532768284	29	1D_NEB
18	10537	6.891116822643829	30	1D_NEB
19	11645	7.615740286579424	31	1D_NEB
20	10810	7.069656719443845	32	1D_NEB
21	8053	5.266599959452478	33	1D_NEB
22	4593	3.0037866153936705	34	1D_NEB
23	1917	1.2537032313759344	35	1D_NEB
24	690	0.4512546842198199	36	1D_NEB
25	285	0.18638780435166474	37	1D_NEB
26	137	0.08959694454799322	38	1D_NEB
27	93	0.06082128352528007	39	1D_NEB
28	69	0.045125468421981986	40	1D_NEB
29	34	0.02223573806300562	41	1D_NEB
30	15	0.009809884439561302	42	1D_NEB
31	16	0.010463876735532056	43	1D_NEB
32	4	0.002615969183883014	44	1D_NEB
33	3	0.0019619768879122605	45	1D_NEB
34	2	0.001307984591941507	47	1D_NEB
0	26	0.011269705730645363	12	2D_NEB
1	118	0.05114712600831357	13	2D_NEB
2	227	0.09839320003294222	14	2D_NEB
3	928	0.4022418045399576	15	2D_NEB
4	1886	0.8174871156921983	16	2D_NEB
5	5162	2.237470037753514	17	2D_NEB
6	9151	3.966502966966759	18	2D_NEB
7	10036	4.350106412029111	19	2D_NEB
8	11509	4.988578586692212	20	2D_NEB
9	12980	5.626183860914494	21	2D_NEB
10	13186	5.715474606318837	22	2D_NEB
11	13842	5.999817950907428	23	2D_NEB
12	14568	6.3145028109246795	24	2D_NEB
13	14030	6.0813065923444025	25	2D_NEB
14	14329	6.210908208246824	26	2D_NEB
15	13359	5.79046149444967	27	2D_NEB
16	13913	6.030592916556498	28	2D_NEB
17	13818	5.989415145617602	29	2D_NEB
18	15274	6.620518666533742	30	2D_NEB
19	16711	7.243386633262103	31	2D_NEB
20	14836	6.430667469994408	32	2D_NEB
21	10565	4.579401578625703	33	2D_NEB
22	5844	2.5330830880727504	34	2D_NEB
23	2437	1.0563181871377982	35	2D_NEB
24	894	0.38750449704603673	36	2D_NEB
25	437	0.189417746318924	37	2D_NEB
26	256	0.11096325642481589	38	2D_NEB
27	152	0.06588443350223444	39	2D_NEB
28	103	0.04464537270217202	40	2D_NEB
29	60	0.026007013224566226	41	2D_NEB
30	33	0.014303857273511423	42	2D_NEB
31	23	0.009969355069417053	43	2D_NEB
32	7	0.0030341515428660595	44	2D_NEB
33	5	0.002167251102047185	45	2D_NEB
34	2	0.0008669004408188741	46	2D_NEB
