	# reads	% reads	fragment length	sample
5	545	0.41257560731886417	17	ribozero_p_f
6	727	0.5503531495794757	18	ribozero_p_f
7	1159	0.8773855575826854	19	ribozero_p_f
8	2963	2.2430486687812743	20	ribozero_p_f
9	11267	8.529338289287418	21	ribozero_p_f
10	12827	9.71028865152123	22	ribozero_p_f
11	10333	7.82228211087307	23	ribozero_p_f
12	7150	5.41268916023831	24	ribozero_p_f
13	7293	5.520942943443076	25	ribozero_p_f
14	9978	7.553540201518581	26	ribozero_p_f
15	14847	11.239467966721424	27	ribozero_p_f
16	15914	12.047207733710835	28	ribozero_p_f
17	17856	13.517339530799337	29	ribozero_p_f
18	10914	8.26211041885887	30	ribozero_p_f
19	4004	3.0311059297334535	31	ribozero_p_f
20	1248	0.9447602897870504	32	ribozero_p_f
21	694	0.5253715073014528	33	ribozero_p_f
22	248	0.18774082681665746	34	ribozero_p_f
23	82	0.062075595963572226	35	ribozero_p_f
24	23	0.017411447648319037	36	ribozero_p_f
25	20	0.015140389259407859	37	ribozero_p_f
26	8	0.006056155703763144	38	ribozero_p_f
27	35	0.026495681203963752	39	ribozero_p_f
28	23	0.017411447648319037	40	ribozero_p_f
0	18	0.009582419454440919	12	ribozero_p_of
1	22	0.011711845999872234	13	ribozero_p_of
2	2029	1.0801516151700348	14	ribozero_p_of
3	212	0.11285960690785972	15	ribozero_p_of
4	418	0.22252507399757246	16	ribozero_p_of
5	859	0.45729435063137497	17	ribozero_p_of
6	1140	0.6068865654479249	18	ribozero_p_of
7	2002	1.0657779859883734	19	ribozero_p_of
8	5170	2.752283809969975	20	ribozero_p_of
9	24678	13.1374970720385	21	ribozero_p_of
10	23621	12.574796107408275	22	ribozero_p_of
11	15060	8.017290943548902	23	ribozero_p_of
12	10423	5.54875322075765	24	ribozero_p_of
13	10444	5.559932710121164	25	ribozero_p_of
14	13461	7.166052682012734	26	ribozero_p_of
15	18020	9.593066587168076	27	ribozero_p_of
16	20219	10.763718830518942	28	ribozero_p_of
17	20952	11.15393624496923	29	ribozero_p_of
18	12188	6.488362683929218	30	ribozero_p_of
19	4189	2.230041949702945	31	ribozero_p_of
20	1416	0.7538169970826857	32	ribozero_p_of
21	825	0.43919422499520877	33	ribozero_p_of
22	285	0.1517216413619812	34	ribozero_p_of
23	82	0.04365324418134196	35	ribozero_p_of
