	# reads	% reads	fragment length	sample
0	26	0.0024432875373541075	12	undepleted
1	40	0.003758903903621704	13	undepleted
2	172	0.016163286785573328	14	undepleted
3	933	0.08767643355197624	15	undepleted
4	1115	0.104779446313455	16	undepleted
5	2268	0.21312985133535062	17	undepleted
6	5875	0.5520890108444377	18	undepleted
7	5407	0.5081098351720639	19	undepleted
8	9940	0.9340876200499935	20	undepleted
9	27867	2.6187343770556506	21	undepleted
10	23641	2.2216061796380178	22	undepleted
11	14469	1.359689514537561	23	undepleted
12	11730	1.1022985697370646	24	undepleted
13	15928	1.4967955344221624	25	undepleted
14	34570	3.2486326987050576	26	undepleted
15	73782	6.933486195425414	27	undepleted
16	130308	12.245381246828424	28	undepleted
17	194888	18.314131599225664	29	undepleted
18	182614	17.160711936399345	30	undepleted
19	126173	11.85680455579153	31	undepleted
20	86660	8.143665307196422	32	undepleted
21	59362	5.5784013381697894	33	undepleted
22	34028	3.1976995508109836	34	undepleted
23	14481	1.3608171857086473	35	undepleted
24	4586	0.43095833255022836	36	undepleted
25	1752	0.16463999097863063	37	undepleted
26	773	0.07264081793748943	38	undepleted
27	490	0.046046572819365875	39	undepleted
28	262	0.02462082056872216	40	undepleted
0	466	0.0068779526489859	12	oligo_depletion
1	763	0.011261540496086356	13	oligo_depletion
2	2276	0.03359274727272942	14	oligo_depletion
3	7352	0.10851224865953721	15	oligo_depletion
4	7597	0.11212833964451907	16	oligo_depletion
5	12703	0.18749062768254912	17	oligo_depletion
6	30237	0.4462846657669242	18	oligo_depletion
7	27814	0.4105222639032057	19	oligo_depletion
8	54241	0.8005730249649018	20	oligo_depletion
9	154698	2.2832736456927485	21	oligo_depletion
10	136107	2.008878757930309	22	oligo_depletion
11	84316	1.2444666428152258	23	oligo_depletion
12	69143	1.0205199141820431	24	oligo_depletion
13	93588	1.381317237152988	25	oligo_depletion
14	198322	2.9271444747900897	26	oligo_depletion
15	416160	6.142336425755305	27	oligo_depletion
16	748617	11.04925381593536	28	oligo_depletion
17	1183694	17.470796744396388	29	oligo_depletion
18	1166433	17.216032064838135	30	oligo_depletion
19	853805	12.60178189156096	31	oligo_depletion
20	627671	9.264144671977744	32	oligo_depletion
21	455171	6.718121427449702	33	oligo_depletion
22	266121	3.927827546997375	34	oligo_depletion
23	113261	1.6716819634695108	35	oligo_depletion
24	36666	0.5411738451238562	36	oligo_depletion
25	14109	0.20824256206983277	37	oligo_depletion
26	6864	0.10130958579965497	38	oligo_depletion
27	4476	0.06606376836236243	39	oligo_depletion
28	2601	0.03838960266097066	40	oligo_depletion
